No,タイトル,投稿日(JST)
1,シン・弁証法2.0：第2回 三層統合プロンプティング理論 ― 認知変容に至る構造設計と実装戦略,2025-08-09
2,シン・弁証法2.0：AI拡張弁証法統合システムの理論的基盤（第1回・概念提示と思想的系譜）,2025-08-05
3,AIファクトチェック・プロンプト,2025-07-21
4,「プロンプト魔改造」ガイド,2025-07-14
5,ほんとうの問いだけが、答えを知っている #3,2025-07-03
6,ほんとうの問いだけが答えを知っている #2,2025-06-21
7,ほんとうの問いだけが答えを知っている #1,2025-06-20
8,第7回：シン・弁証法2.0：実践知の弁証法的統合と「思考OS」の構,2025-06-16
9,10代のための「思考の次元拡張プロンプト｣,2025-04-18
10,#6「シン･弁証法」：問いの跳躍と共考の深化 — 統合的実践,2025-04-18
11,#5-2「シン･弁証法」：問いの弁証法【後編：実践と実装】,2025-03-30
12,#5-1「シン･弁証法」：問いの弁証法【前編：理論的基盤】,2025-03-29
13,複雑な思考を一瞬で多次元的に拡張する究極ツール　｢シン・弁証法マスタープロンプト｣,2025-03-18
14,#4「シン･弁証法」：言語と思考の弁証法 – 三浦つとむとAI拡張弁証法の創造的統合,2025-03-17
15,#3「シン･弁証法」量子・多様体・複雑系が拓くAI拡張弁証法,2025-03-13
16,#2「シン･弁証法」実践！ AAD：進化するプロンプトで体験する思考の次元拡張,2025-03-10
17,#1「シン･弁証法」提案：AI×弁証法で思考をハックする,2025-02-12
18,生成AIと再定義する「教え合い」：新しい学びのカタチを共創する,2025-02-09
19,「教える」ことの実体化：生成AIが解き明かす人類の根源的行為,2025-02-07
20,言葉とAI – 知の秩序の再編、あるいは新たな人間像の出現？,2025-02-06
21,電脳自己幻想[*1]：AI時代における「わたし」をめぐる新たな風景（第1回目）,2025-02-02
22,電脳空間に「人権」はあるか？：「自己幻想」と「知的資産」を守るCIOP (3),2025-01-28
23,電脳空間に「人権」はあるか？：「自己幻想」と「知的資産」を守るCIOP (2),2025-01-28
24,電脳空間に「人権」はあるか？：「自己幻想」と「知的資産」を守るCIOP (1),2025-01-28
25,｢知的資産の新しいルール｣-個人の知的資産を基本的人権として守るCIOP（包括的知的所有パラダイム）の提言 (2),2025-01-26
26,（以下、継続可能）,—
